,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Ar_ruim
0,29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,False
1,28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,False
2,23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,False
3,27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,False
4,26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,303,False
5,39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,True
6,41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,True
7,31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,False
8,29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,True
9,33.2,80.5,11.1,24.4,32.0,15.3,1.69,4.9,535,True
10,26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,529,False
11,32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,False
12,20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,False
13,28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,False
14,22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,False
15,32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,False
16,22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,False
17,37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,True
18,34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,437,False
19,37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,True
20,27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,338,False
21,27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,False
22,25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10.0,536,False
23,24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,False
24,26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,581,False
25,22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,False
26,30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,False
27,37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,True
28,29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,False
29,52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785,True
30,44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562,True
31,23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,575,False
32,35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,True
33,29.7,85.8,84.4,94.4,26.7,19.8,1.55,10.0,744,True
34,21.8,79.6,7.1,16.8,14.5,6.0,0.91,10.8,455,False
35,27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,594,False
36,27.5,78.9,30.2,34.1,15.3,3.0,0.98,11.1,472,False
37,28.0,72.2,18.5,25.0,24.9,6.1,1.32,13.2,480,False
38,22.2,50.0,2.3,8.4,23.5,3.7,0.96,10.2,547,False
39,33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,612,True
40,37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898,True
41,30.9,94.4,48.3,67.1,31.4,23.3,1.75,4.3,779,True
